store_id,area_id,name,address,owner,phone,email,status
82,11,"Clyde Lamberti","79 1st Parkway","Bertha Farrow",893-513-9485,bfarrow29@ted.com,Open
83,18,"Myer Scade","4336 Oak Valley Alley","Datha Hinstock",927-734-5515,dhinstock2a@answers.com,Open
84,3,"Kynthia Fidele","3 Oneill Trail","Pepito Calkin",549-629-8645,pcalkin2b@360.cn,Open
85,28,"Burl Leathes","7054 Bowman Place","Dani Angell",443-979-1350,dangell2c@cnbc.com,Open
86,6,"Florentia Beadnall","7 Marcy Way","Wolfie Carlsson",947-851-0093,wcarlsson2d@github.com,Open
87,11,"Eldredge Killigrew","687 Crest Line Park","Jan Lidgley",596-385-5922,jlidgley2e@java.com,Open
88,4,"Jamil Oliffe","3975 Granby Place","Fitzgerald Sumshon",279-162-7973,fsumshon2f@tumblr.com,Closed
89,19,"Dulsea Willcocks","11 Main Street","Lynnell Garling",959-518-4483,lgarling2g@cyberchimps.com,Closed
90,1,"Melisenda Mugg","29 Westerfield Plaza","Tann Sergeaunt",395-448-7597,tsergeaunt2h@fema.gov,Closed
91,20,"Wadsworth Ginnety","1402 Anderson Place","Fayth Devennie",888-580-5187,fdevennie2i@vimeo.com,Open
92,21,"Tera Eadington","61416 Debs Circle","Jobi Boadby",361-830-2756,jboadby2j@mayoclinic.com,Open
93,29,"Aldous Semrad","05 Charing Cross Road","Craggie Karpov",582-227-8836,ckarpov2k@webmd.com,Open
94,22,"Ashely Mollon","70 Arapahoe Street","Ron Pyner",672-458-9160,rpyner2l@virginia.edu,Closed
95,6,"Tabbie Bartel","724 Hovde Court","Orrin Claisse",570-834-2133,oclaisse2m@people.com.cn,Closed
96,30,"Marcelo Nelson","894 Southridge Circle","Buffy Kiddy",822-230-4417,bkiddy2n@ucla.edu,Closed
97,23,"Eilis Butting","16996 Westridge Junction","Engelbert Crosston",249-409-1411,ecrosston2o@patch.com,Closed
98,17,"Auberon Traylen","93 Graedel Plaza","Marris Harrad",318-592-0690,mharrad2p@jigsy.com,Open
99,9,"Merrily Leser","68362 Dawn Parkway","Bobby Schollick",554-994-9746,bschollick2q@google.de,Open
100,9,"Kimberlyn Kittley","151 Crowley Point","Dugald Clementi",634-406-1631,dclementi2r@github.com,Open
101,27,"Vick Turk","01300 Debra Parkway","Starlin Coldwell",415-372-9166,scoldwell2s@ox.ac.uk,Closed
102,27,"Karine Shillington","733 Buell Way","Phillipe Worland",588-815-9294,pworland2t@yelp.com,Open
103,17,"Sibbie Jendrach","2 Corscot Trail","Codie Eldered",208-913-7926,celdered2u@nasa.gov,Closed
104,20,"Germaine Godbold","0017 Monterey Terrace","Georgina Acres",815-162-4740,gacres2v@oakley.com,Open
105,14,"Elyssa Hiddy","827 Fairview Parkway","Sloane Anstiss",665-294-6321,sanstiss2w@marriott.com,Closed
106,4,"Pammi Badder","8 Hudson Circle","Eugenio Corssen",510-995-5188,ecorssen2x@skype.com,Closed
107,27,"Wilburt Greeves","9 Harper Junction","Liesa Greenhough",365-251-4489,lgreenhough2y@economist.com,Open
108,18,"Wes Arnott","9 Macpherson Way","Cece Kloss",584-780-5215,ckloss2z@live.com,Open
109,14,"Katey Whetnell","1 Northview Point","Hart Dalgardno",437-778-0664,hdalgardno30@wp.com,Open
110,29,"Brittney Newstead","51 East Circle","Megan Joutapavicius",567-238-0076,mjoutapavicius31@wiley.com,Closed
111,22,"Annie Skippen","55923 Blackbird Place","Gerianna McGilbon",436-414-6763,gmcgilbon32@hibu.com,Open
112,17,"Bruno Pedroni","92124 Michigan Junction","Lorianna Coonan",520-117-2014,lcoonan33@msn.com,Closed
113,25,"Benjy D' Angelo","5968 Helena Point","Harri Wyer",580-434-5329,hwyer34@networkadvertising.org,Closed
114,12,"Derwin Flescher","83 Burrows Lane","Luci Sprade",988-978-0267,lsprade35@ifeng.com,Open
115,7,"Nicol Saffe","2 Fordem Circle","Olenka Sherel",784-699-6320,osherel36@mozilla.com,Closed
116,12,"Lester Alberts","7 Granby Point","Philomena Winstanley",614-753-7040,pwinstanley37@a8.net,Closed
117,30,"Retha Thundercliffe","75894 Prairieview Road","Phillipe Moline",657-759-9170,pmoline38@diigo.com,Open
118,17,"Zaccaria Snelgrove","885 Oneill Terrace","Ermina Noone",572-204-7915,enoone39@google.ca,Open
119,14,"Joni Peterffy","66307 American Ash Avenue","Addy Leigh",460-147-3924,aleigh3a@about.me,Closed
120,4,"Bryn Habbeshaw","83 Holy Cross Hill","Randene Fellow",108-907-8553,rfellow3b@mayoclinic.com,Closed
121,28,"Tabina Zylbermann","3464 Muir Drive","Perri Faulks",422-386-7583,pfaulks3c@senate.gov,Closed
122,25,"Bunni Saddington","9602 Dahle Place","Erna Layson",118-185-3873,elayson3d@qq.com,Closed
123,6,"Laurence MacCahey","3 Bluejay Trail","Rosabella Vondracek",426-574-6396,rvondracek3e@sohu.com,Open
124,29,"Roland Goodricke","04442 Onsgard Court","Marissa Stenhouse",336-442-3209,mstenhouse3f@auda.org.au,Closed
125,7,"Abigael Biever","07122 Fuller Circle","Bria Crichmer",493-488-4043,bcrichmer3g@bloomberg.com,Open
126,30,"Janine Petrenko","336 Shelley Terrace","Jada Breydin",890-866-2081,jbreydin3h@go.com,Open
127,19,"Gleda Ely","1 Sundown Hill","Brear Raithmill",469-807-1490,braithmill3i@pbs.org,Open
128,21,"Shurlock Connelly","3222 Bartillon Point","Celestyna Halhead",915-719-2303,chalhead3j@devhub.com,Closed
129,25,"Kassia Banbrook","54856 Graceland Road","Colly Schneider",535-127-3504,cschneider3k@wikipedia.org,Open
130,6,"Spence Woollam","8761 Miller Lane","Robbie Sindell",202-374-2834,rsindell3l@w3.org,Open
131,14,"Cleavland Willmott","29 Hoffman Court","Callean Rearie",741-757-7087,crearie3m@bloglovin.com,Closed
132,7,"Dennet Haney`","31096 Drewry Terrace","Chickie Strelitzer",110-158-3849,cstrelitzer3n@hhs.gov,Open
133,18,"Nikolos Gravestone","697 Park Meadow Street","Devy Antoszewski",180-660-7600,dantoszewski3o@chron.com,Open
134,25,"Roley Powland","18913 Meadow Vale Drive","Emili Cashmore",349-831-7896,ecashmore3p@ebay.co.uk,Open
135,15,"Bert Aimeric","55 Londonderry Plaza","Sidoney Le Noir",262-624-8775,sle3q@google.fr,Closed
136,1,"Fin Dibden","7795 8th Center","Meghann Vaugham",318-604-2230,mvaugham3r@weather.com,Closed
137,15,"Magdalen Percifer","60764 Mandrake Place","Annmarie Robun",390-453-1805,arobun3s@discovery.com,Closed
138,24,"Tobey Tollady","0 Swallow Terrace","Logan Toohey",792-427-9949,ltoohey3t@archive.org,Open
139,28,"Norrie Fazan","06 Dryden Way","Bliss Wisam",293-565-8342,bwisam3u@adobe.com,Closed
140,29,"Sharleen Peach","35 Del Sol Center","Ernest Karpenko",870-534-5143,ekarpenko3v@redcross.org,Open
141,24,"Grenville Tuerena","21 Forest Run Circle","Antin Markushkin",385-551-1183,amarkushkin3w@barnesandnoble.com,Open
142,2,"Laurent Willcocks","38 Waywood Place","Electra Ludewig",996-677-4621,eludewig3x@businesswire.com,Open
143,2,"Dino Lander","1 Lindbergh Park","Glad Ginnell",252-804-4189,gginnell3y@hud.gov,Closed
144,15,"Averill Bilovus","2 Randy Road","Hannis Thoresby",154-774-8610,hthoresby3z@jimdo.com,Open
145,2,"Lesley Greenly","4565 Merry Alley","Keri Marjoribanks",690-835-2639,kmarjoribanks40@imgur.com,Closed
146,12,"Aubrie Bolin","271 Superior Lane","Sim Tiltman",815-796-8022,stiltman41@sfgate.com,Closed
147,18,"Homere Worviell","0381 5th Terrace","Romain Crowley",501-522-4538,rcrowley42@ocn.ne.jp,Open
148,25,"Bernette Paliser","85 Moose Road","Sally Coverdale",858-385-9520,scoverdale43@marriott.com,Open
149,7,"Toinette Jays","4585 Westridge Avenue","Corbett Rosenthal",493-159-2658,crosenthal44@ifeng.com,Open
150,5,"Laure Scough","97019 Fairfield Lane","Leonid Solleme",376-665-1812,lsolleme45@yelp.com,Open
152,2,"Quan Food Store","Hanoi Vietnam",Quan,0913456789,quan@vnpt.vn,Open
